id,avg_neuroticism,avg_extraversion,avg_openness,avg_agreeableness,avg_conscientiousness,diff_neuroticism,diff_extraversion,diff_openness,diff_agreeableness,diff_conscientiousness
7-11-22-1,0.54,0.70,0.58,0.58,0.65,0.05,0.10,0.02,0.02,0.10
7-11-22-2,0.58,0.73,0.63,0.64,0.68,0.08,0.02,0.10,0.05,0.08
7-11-22-3,na,na,na,na,na,na,na,na,na,na
7-11-22-4,na,na,na,na,na,na,na,na,na,na
7-11-22-5,0.48,0.63,0.62,0.68,0.71,0.00,0.07,0.03,0.08,0.05
7-11-22-6,na,na,na,na,na,na,na,na,na,na
7-11-22-7,0.58,0.65,0.60,0.61,0.68,0.02,0.07,0.10,0.02,0.13
7-11-22-8,0.50,0.63,0.65,0.60,0.72,0.17,0.15,0.07,0.23,0.10
7-12-22-1,na,na,na,na,na,na,na,na,na,na
7-12-22-2,0.57,0.74,0.61,0.63,0.71,0.20,0.05,0.12,0.10,0.15
7-12-22-3,0.46,0.70,0.66,0.69,0.66,0.15,0.17,0.15,0.02,0.25
7-12-22-4,0.60,0.65,0.59,0.60,0.74,0.13,0.10,0.02,0.07,0.02
7-12-22-5,0.53,0.66,0.66,0.64,0.76,0.03,0.08,0.08,0.15,0.05
7-12-22-6,na,na,na,na,na,na,na,na,na,na
7-12-22-7,0.46,0.70,0.66,0.69,0.66,0.15,0.17,0.15,0.02,0.25
7-12-22-8,0.50,0.73,0.67,0.58,0.69,0.03,0.00,0.03,0.03,0.05
