,Team,ts_start,ts_end,#,Nat,SPTSS,FSTSS,TotalScore,Season,Event,frame_start,frame_end
0,Safina / Berulava,00:12:53,00:15:45,9,🇬🇪,66.11,126.33,192.44,21/22,OLY,23190,28350
1,Knierim / Frazier,00:19:32,00:22:21,6,🇺🇸,74.23,138.45,212.68,21/22,OLY,35160,40230
2,James / Radford,00:26:16,00:29:07,12,🇨🇦,63.03,117.96,180.99,21/22,OLY,47280,52410
3,Miura / Kihara,01:01:57,01:04:42,7,🇯🇵,70.85,141.04,211.89,21/22,OLY,111510,116460
4,Ziegler / Kiefer,01:08:29,01:11:28,18,🇦🇹,51.96,-,51.96,21/22,OLY,123270,128640
5,Barquero / Zandrón,01:15:07,01:17:56,11,🇪🇸,63.34,118.02,181.36,21/22,OLY,135210,140280
6,Zukova / Bidar,01:29:38,01:32:25,17,🇨🇿,54.64,-,54.64,21/22,OLY,161340,166350
7,Kops / Krasnopolski,01:36:13,01:39:00,15,🇮🇱,55.99,97.83,153.82,21/22,OLY,173190,178200
8,Della Monica / Guarise,01:42:45,01:45:37,13,🇮🇹,63.58,116.29,179.87,21/22,OLY,184950,190110
9,Hase / Seegert,01:49:22,01:52:18,16,🇩🇪,62.37,87.32,149.69,21/22,OLY,196860,202140
10,Moore-Towers / Marinaro,02:18:48,02:21:37,10,🇨🇦,62.51,118.86,181.37,21/22,OLY,249840,254910
11,Cain / Leduc,02:25:20,02:28:11,8,🇺🇸,74.13,123.92,198.05,21/22,OLY,261600,266730
12,Peng / Jin,02:32:07,02:34:50,5,🇨🇳,76.10,138.74,214.84,21/22,OLY,273810,278700
13,Ghilardi / Ambrosini,02:38:46,02:41:34,14,🇮🇹,55.83,109.60,165.43,21/22,OLY,285780,290820
14,Mishina / Galliamov,02:53:01,02:55:48,3,🇷🇺,82.76,154.95,237.71,21/22,OLY,311430,316440
15,Sui / Han,02:59:36,03:02:23,1,🇨🇳,84.41,155.47,239.88,21/22,OLY,323280,328290
16,Tarasova / Morozov,03:06:07,03:08:55,2,🇷🇺,84.25,155.00,239.25,21/22,OLY,335010,340050
17,Boikova / Kozlovskii,03:12:37,03:15:24,4,🇷🇺,78.59,141.91,220.50,21/22,OLY,346710,351720
