,Team,ts_start,ts_end,#,Nat,SPTSS,FSTSS,TotalScore,Season,Event,frame_start,frame_end
0,Kim / Kam,00:13:03,00:15:50,22,🇰🇷,42.93,-,42.93,17/18,OLY,18792,22800
1,Alexandrovskaya / Windsor,00:19:23,00:22:12,18,🇦🇺,61.55,-,61.55,17/18,OLY,27912,31968
2,Suzaki / Kihara,00:25:54,00:28:44,21,🇯🇵,57.74,-,57.74,17/18,OLY,37296,41376
3,Conners / Krasnopolski,00:40:20,00:43:10,19,🇮🇱,60.35,-,60.35,17/18,OLY,58080,62160
4,Ziegler / Kiefer,00:46:50,00:49:41,20,🇦🇹,58.80,-,58.80,17/18,OLY,67440,71544
5,Duskova / Bidar,00:53:15,00:56:04,14,🇨🇿,63.25,123.08,186.33,17/18,OLY,76680,80736
6,Astakhova / Rogonov,01:09:25,01:12:17,12,🇷🇺,70.52,123.93,194.45,17/18,OLY,99960,104088
7,Hocke / Blommaert,01:15:59,01:18:48,16,🇩🇪,63.04,108.94,171.98,17/18,OLY,109416,113472
8,Peng / Jin,01:22:20,01:25:09,17,🇨🇳,62.61,-,62.61,17/18,OLY,118560,122616
9,Ryom / Kim,01:28:50,01:31:38,13,🇰🇵,69.40,124.23,193.63,17/18,OLY,127920,131952
10,Moore-Towers / Marinaro,01:43:15,01:46:04,11,🇨🇦,65.68,132.43,198.11,17/18,OLY,148680,152736
11,Yu / Zhang,01:49:44,01:52:35,8,🇨🇳,75.58,128.52,204.10,17/18,OLY,158016,162120
12,Knierim / Knierim,01:56:23,01:59:17,15,🇺🇸,65.55,120.27,185.82,17/18,OLY,167592,171768
13,Séguin / Bilodeau,02:02:56,02:05:40,9,🇨🇦,67.52,136.50,204.02,17/18,OLY,177024,180960
14,James / Cipres,02:19:00,02:21:55,5,🇫🇷,75.34,143.19,218.53,17/18,OLY,200160,204360
15,Della Monica / Guarise,02:25:35,02:28:28,10,🇮🇹,74.00,128.74,202.74,17/18,OLY,209640,213792
16,Sui / Han,02:32:01,02:34:50,2,🇨🇳,82.39,153.08,235.47,17/18,OLY,218904,222960
17,Marchei / Hotarek,02:38:31,02:41:23,6,🇮🇹,74.50,142.09,216.59,17/18,OLY,228264,232392
18,Duhamel / Radford,02:53:01,02:55:50,3,🇨🇦,76.82,153.33,230.15,17/18,OLY,249144,253200
19,Zabiiako / Enbert,02:59:28,03:02:16,7,🇷🇺,74.35,138.53,212.88,17/18,OLY,258432,262464
20,Savchenko / Massot,03:05:58,03:08:47,1,🇩🇪,76.59,159.31,235.90,17/18,OLY,267792,271848
21,Tarasova / Morozov,03:12:21,03:15:10,4,🇷🇺,81.68,143.25,224.93,17/18,OLY,276984,281040
