,Team,ts_start,ts_end,#,Nat,SPTSS,FSTSS,TotalScore,Season,Event,frame_start,frame_end
0,Takahashi / Kihara,00:02:24,00:05:10,18,🇯🇵,48.45,-,48.45,13/14,OLY,3456,7440
1,Della Monica / Guarise,00:08:22,00:11:10,16,🇮🇹,51.64,86.22,137.86,13/14,OLY,12048,16080
2,Ziegler / Kiefer,00:14:43,00:17:32,17,🇦🇹,49.62,-,49.62,13/14,OLY,21192,25248
3,Peng / Zhang,00:21:12,00:23:53,8,🇨🇳,70.59,125.13,195.72,13/14,OLY,30528,34392
4,Davidovich / Krasnopolski,00:34:42,00:37:28,15,🇮🇱,53.38,94.35,147.73,13/14,OLY,49968,53952
5,Castelli / Shnapir,00:41:05,00:43:55,9,🇺🇸,67.44,120.38,187.82,13/14,OLY,59160,63240
6,Zhang / Bartholomay,00:47:43,00:50:31,12,🇺🇸,56.90,110.31,167.21,13/14,OLY,68712,72744
7,Kemp / King,00:54:17,00:57:06,19,🇬🇧,44.98,-,44.98,13/14,OLY,78168,82224
8,Hausch / Wende,01:09:31,01:12:17,13,🇩🇪,59.25,107.00,166.25,13/14,OLY,100104,104088
9,Lavrentieva / Rudik,01:16:14,01:17:13,20,🇺🇦,44.30,-,44.30,13/14,OLY,109776,111192
10,Stolbova / Klimov,01:18:20,01:21:12,2,🇷🇺,75.21,143.47,218.68,13/14,OLY,112800,116928
11,Duhamel / Radford,01:25:31,01:28:21,7,🇨🇦,72.21,127.32,199.53,13/14,OLY,123144,127224
12,Savchenko / Szolkowy,01:32:02,01:34:51,3,🇩🇪,79.64,136.14,215.78,13/14,OLY,132528,136584
13,Berton / Hotarek,01:38:20,01:41:08,11,🇮🇹,63.57,115.51,179.08,13/14,OLY,141600,145632
14,Volosozhar / Trankov,01:54:27,01:57:17,1,🇷🇺,84.17,152.69,236.86,13/14,OLY,164808,168888
15,Bazarova / Larionov,02:01:05,02:04:05,6,🇷🇺,69.66,129.94,199.60,13/14,OLY,174360,178680
16,Pang / Tong,02:08:00,02:10:47,4,🇨🇳,73.30,136.58,209.88,13/14,OLY,184320,188328
17,Moore-Towers / Moscovitch,02:14:08,02:17:03,5,🇨🇦,70.92,131.18,202.10,13/14,OLY,193152,197352
