,Team,ts_start,ts_end,#,Nat,SPTSS,FSTSS,TotalScore,Season,Event,frame_start,frame_end
0,Shen / Zhao,00:06:32,00:09:23,1,🇨🇳,76.66,139.91,216.57,09/10,OLY,9408,13512
1,Sergejeva / Glebov,00:12:36,00:15:18,19,🇪🇪,42.18,82.72,124.90,09/10,OLY,18144,22032
2,Sulej / Chruscinski,00:18:52,00:21:41,18,🇵🇱,39.30,86.52,125.82,09/10,OLY,27168,31224
3,Denney / Barrett,00:32:24,00:35:13,13,🇺🇸,53.26,105.07,158.33,09/10,OLY,46656,50712
4,Hausch / Wende,00:38:52,00:41:40,17,🇩🇪,45.46,93.28,138.74,09/10,OLY,55968,60000
5,James / Bonheur,00:45:34,00:48:20,14,🇫🇷,51.16,93.94,145.10,09/10,OLY,65616,69600
6,Bazarova / Larionov,01:02:10,01:04:58,11,🇷🇺,56.54,106.96,163.50,09/10,OLY,89520,93552
7,Evora / Ladwig,01:08:56,01:11:42,10,🇺🇸,57.86,114.06,171.92,09/10,OLY,99264,103248
8,Langlois / Hay,01:15:25,01:18:15,9,🇨🇦,64.20,115.77,179.97,09/10,OLY,108600,112680
9,Kostenko / Talan,01:21:50,01:24:37,20,🇺🇦,39.54,81.44,120.98,09/10,OLY,117840,121848
10,Morand / Dorsaz,01:48:38,01:51:25,15,🇨🇭,55.34,89.08,144.42,09/10,OLY,156432,160440
11,Mukhortova / Trankov,02:17:43,02:20:30,7,🇷🇺,63.44,122.35,185.79,09/10,OLY,198312,202320
12,Volosozhar / Morozov,02:24:15,02:27:00,8,🇺🇦,62.14,119.64,181.78,09/10,OLY,207720,211680
13,Kavaguti / Smirnov,02:30:35,02:33:23,4,🇷🇺,74.16,120.61,194.77,09/10,OLY,216840,220872
14,Dubé / Davison,02:44:30,02:47:17,6,🇨🇦,65.36,121.75,187.11,09/10,OLY,236880,240888
15,Pang / Tong,02:51:22,02:54:13,2,🇨🇳,71.50,141.81,213.31,09/10,OLY,246768,250872
16,Zhang / Zhang,02:57:42,03:00:32,5,🇨🇳,71.28,123.06,194.34,09/10,OLY,255888,259968
17,Savchenko / Szolkowy,03:04:22,03:07:10,3,🇩🇪,75.96,134.64,210.60,09/10,OLY,265488,269520
