,scene_id,ts_start,ts_end,frame_start,frame_end,Team,#,Nat,SPTSS,FSTSS,TotalScore,Season,Event
0,0,00:13:51.683,00:14:22.603,20792,21565,Kim / Kam,22,🇰🇷,42.93,-,42.93,17/18,OLY
1,1,00:14:22.603,00:15:00.043,21565,22501,Kim / Kam,22,🇰🇷,42.93,-,42.93,17/18,OLY
2,2,00:26:21.165,00:26:31.685,39529,39792,Suzaki / Kihara,21,🇯🇵,57.74,-,57.74,17/18,OLY
3,3,00:26:31.685,00:26:59.845,39792,40496,Suzaki / Kihara,21,🇯🇵,57.74,-,57.74,17/18,OLY
4,4,00:26:59.845,00:27:49.526,40496,41738,Suzaki / Kihara,21,🇯🇵,57.74,-,57.74,17/18,OLY
5,5,00:27:49.526,00:28:22.846,41738,42571,Suzaki / Kihara,21,🇯🇵,57.74,-,57.74,17/18,OLY
6,6,00:41:08.328,00:41:38.608,61708,62465,Conners / Krasnopolski,19,🇮🇱,60.35,-,60.35,17/18,OLY
7,7,00:41:38.608,00:42:05.768,62465,63144,Conners / Krasnopolski,19,🇮🇱,60.35,-,60.35,17/18,OLY
8,8,00:42:05.768,00:42:25.568,63144,63639,Conners / Krasnopolski,19,🇮🇱,60.35,-,60.35,17/18,OLY
9,9,00:48:30.130,00:48:52.370,72753,73309,Ziegler / Kiefer,20,🇦🇹,58.80,-,58.80,17/18,OLY
10,10,00:53:16.691,00:54:11.491,79917,81287,Duskova / Bidar,14,🇨🇿,63.25,123.08,186.33,17/18,OLY
11,11,01:16:30.575,01:17:37.016,114764,116425,Hocke / Blommaert,16,🇩🇪,63.04,108.94,171.98,17/18,OLY
12,12,01:17:37.016,01:17:57.496,116425,116937,Hocke / Blommaert,16,🇩🇪,63.04,108.94,171.98,17/18,OLY
13,13,01:22:23.456,01:23:08.817,123586,124720,Peng / Jin,17,🇨🇳,62.61,-,62.61,17/18,OLY
14,14,01:23:08.817,01:23:51.457,124720,125786,Peng / Jin,17,🇨🇳,62.61,-,62.61,17/18,OLY
15,15,01:44:29.741,01:44:37.901,156743,156947,Moore-Towers / Marinaro,11,🇨🇦,65.68,132.43,198.11,17/18,OLY
16,16,01:44:37.901,01:45:06.821,156947,157670,Moore-Towers / Marinaro,11,🇨🇦,65.68,132.43,198.11,17/18,OLY
17,17,01:49:54.502,01:50:12.462,164862,165311,Yu / Zhang,8,🇨🇳,75.58,128.52,204.10,17/18,OLY
18,18,01:50:12.462,01:50:26.662,165311,165666,Yu / Zhang,8,🇨🇳,75.58,128.52,204.10,17/18,OLY
19,19,01:50:26.662,01:50:50.382,165666,166259,Yu / Zhang,8,🇨🇳,75.58,128.52,204.10,17/18,OLY
20,20,01:50:50.382,01:51:17.542,166259,166938,Yu / Zhang,8,🇨🇳,75.58,128.52,204.10,17/18,OLY
21,21,01:51:17.542,01:51:31.262,166938,167281,Yu / Zhang,8,🇨🇳,75.58,128.52,204.10,17/18,OLY
22,22,01:51:31.262,01:51:37.302,167281,167432,Yu / Zhang,8,🇨🇳,75.58,128.52,204.10,17/18,OLY
23,23,01:51:37.302,01:51:53.022,167432,167825,Yu / Zhang,8,🇨🇳,75.58,128.52,204.10,17/18,OLY
24,24,01:57:00.343,01:57:43.464,175508,176586,Knierim / Knierim,15,🇺🇸,65.55,120.27,185.82,17/18,OLY
25,25,02:03:31.385,02:04:06.465,185284,186161,Séguin / Bilodeau,9,🇨🇦,67.52,136.50,204.02,17/18,OLY
26,26,02:19:51.348,02:20:16.028,209783,210400,James / Cipres,5,🇫🇷,75.34,143.19,218.53,17/18,OLY
27,27,02:20:16.028,02:20:17.188,210400,210429,James / Cipres,5,🇫🇷,75.34,143.19,218.53,17/18,OLY
28,28,02:20:17.188,02:20:28.948,210429,210723,James / Cipres,5,🇫🇷,75.34,143.19,218.53,17/18,OLY
29,29,02:32:03.310,02:33:09.791,228082,229744,Sui / Han,2,🇨🇳,82.39,153.08,235.47,17/18,OLY
30,30,02:33:09.791,02:34:31.111,229744,231777,Sui / Han,2,🇨🇳,82.39,153.08,235.47,17/18,OLY
31,31,02:38:30.992,02:38:58.992,237774,238474,Marchei / Hotarek,6,🇮🇹,74.50,142.09,216.59,17/18,OLY
32,32,02:38:58.992,02:39:24.512,238474,239112,Marchei / Hotarek,6,🇮🇹,74.50,142.09,216.59,17/18,OLY
33,33,02:39:24.512,02:39:56.792,239112,239919,Marchei / Hotarek,6,🇮🇹,74.50,142.09,216.59,17/18,OLY
34,34,02:53:21.555,02:53:51.515,260038,260787,Duhamel / Radford,3,🇨🇦,76.82,153.33,230.15,17/18,OLY
35,35,02:53:51.515,02:54:29.595,260787,261739,Duhamel / Radford,3,🇨🇦,76.82,153.33,230.15,17/18,OLY
36,36,02:54:29.595,02:54:39.915,261739,261997,Duhamel / Radford,3,🇨🇦,76.82,153.33,230.15,17/18,OLY
37,37,03:06:16.917,03:07:18.357,279422,280958,Savchenko / Massot,1,🇩🇪,76.59,159.31,235.90,17/18,OLY
38,38,03:07:18.357,03:07:42.838,280958,281570,Savchenko / Massot,1,🇩🇪,76.59,159.31,235.90,17/18,OLY
39,39,03:12:41.039,03:14:15.959,289025,291398,Tarasova / Morozov,4,🇷🇺,81.68,143.25,224.93,17/18,OLY
40,40,03:14:15.959,03:14:26.879,291398,291671,Tarasova / Morozov,4,🇷🇺,81.68,143.25,224.93,17/18,OLY
41,41,03:14:26.879,03:15:02.199,291671,292554,Tarasova / Morozov,4,🇷🇺,81.68,143.25,224.93,17/18,OLY
