,scene_id,ts_start,ts_end,frame_start,frame_end,Team,#,Nat,SPTSS,FSTSS,TotalScore,Season,Event
0,0,00:03:04.601,00:03:14.521,4615,4863,Takahashi / Kihara,18,🇯🇵,48.45,-,48.45,13/14,OLY
1,1,00:03:14.521,00:03:25.921,4863,5148,Takahashi / Kihara,18,🇯🇵,48.45,-,48.45,13/14,OLY
2,2,00:03:25.921,00:03:41.321,5148,5533,Takahashi / Kihara,18,🇯🇵,48.45,-,48.45,13/14,OLY
3,3,00:08:51.802,00:08:57.723,13295,13443,Della Monica / Guarise,16,🇮🇹,51.64,86.22,137.86,13/14,OLY
4,4,00:08:57.723,00:09:17.123,13443,13928,Della Monica / Guarise,16,🇮🇹,51.64,86.22,137.86,13/14,OLY
5,5,00:09:17.123,00:09:33.963,13928,14349,Della Monica / Guarise,16,🇮🇹,51.64,86.22,137.86,13/14,OLY
6,6,00:09:33.963,00:10:20.443,14349,15511,Della Monica / Guarise,16,🇮🇹,51.64,86.22,137.86,13/14,OLY
7,7,00:10:20.443,00:10:31.643,15511,15791,Della Monica / Guarise,16,🇮🇹,51.64,86.22,137.86,13/14,OLY
8,8,00:15:02.204,00:15:06.484,22555,22662,Ziegler / Kiefer,17,🇦🇹,49.62,-,49.62,13/14,OLY
9,9,00:15:06.484,00:15:12.564,22662,22814,Ziegler / Kiefer,17,🇦🇹,49.62,-,49.62,13/14,OLY
10,10,00:15:12.564,00:15:37.004,22814,23425,Ziegler / Kiefer,17,🇦🇹,49.62,-,49.62,13/14,OLY
11,11,00:15:37.004,00:15:57.524,23425,23938,Ziegler / Kiefer,17,🇦🇹,49.62,-,49.62,13/14,OLY
12,12,00:21:27.406,00:22:27.326,32185,33683,Peng / Zhang,8,🇨🇳,70.59,125.13,195.72,13/14,OLY
13,13,00:22:27.326,00:22:38.326,33683,33958,Peng / Zhang,8,🇨🇳,70.59,125.13,195.72,13/14,OLY
14,14,00:22:38.326,00:22:53.086,33958,34327,Peng / Zhang,8,🇨🇳,70.59,125.13,195.72,13/14,OLY
15,15,00:35:00.770,00:35:03.210,52519,52580,Davidovich / Krasnopolski,15,🇮🇱,53.38,94.35,147.73,13/14,OLY
16,16,00:35:03.210,00:35:04.090,52580,52602,Davidovich / Krasnopolski,15,🇮🇱,53.38,94.35,147.73,13/14,OLY
17,17,00:35:04.090,00:35:13.570,52602,52839,Davidovich / Krasnopolski,15,🇮🇱,53.38,94.35,147.73,13/14,OLY
