,scene_id,ts_start,ts_end,frame_start,frame_end,Team,#,Nat,SPTSS,FSTSS,TotalScore,Season,Event
0,0,00:07:24.202,00:07:44.682,11105,11617,Aganina / Knyazev,16,🇺🇿,44.02,75.53,119.55,05/06,OLY
1,1,00:07:44.682,00:08:36.642,11617,12916,Aganina / Knyazev,16,🇺🇿,44.02,75.53,119.55,05/06,OLY
2,2,00:08:36.642,00:09:11.162,12916,13779,Aganina / Knyazev,16,🇺🇿,44.02,75.53,119.55,05/06,OLY
3,3,00:09:11.162,00:09:35.522,13779,14388,Aganina / Knyazev,16,🇺🇿,44.02,75.53,119.55,05/06,OLY
4,4,00:13:57.323,00:14:27.443,20933,21686,Volosozhar / Morozov,12,🇺🇦,50.14,98.24,148.38,05/06,OLY
5,5,00:14:27.443,00:14:46.603,21686,22165,Volosozhar / Morozov,12,🇺🇦,50.14,98.24,148.38,05/06,OLY
6,6,00:14:46.603,00:15:37.483,22165,23437,Volosozhar / Morozov,12,🇺🇦,50.14,98.24,148.38,05/06,OLY
7,7,00:15:37.483,00:15:41.003,23437,23525,Volosozhar / Morozov,12,🇺🇦,50.14,98.24,148.38,05/06,OLY
8,8,00:15:41.003,00:15:54.203,23525,23855,Volosozhar / Morozov,12,🇺🇦,50.14,98.24,148.38,05/06,OLY
9,9,00:15:54.203,00:16:14.163,23855,24354,Volosozhar / Morozov,12,🇺🇦,50.14,98.24,148.38,05/06,OLY
10,10,00:16:14.163,00:16:27.243,24354,24681,Volosozhar / Morozov,12,🇺🇦,50.14,98.24,148.38,05/06,OLY
11,11,00:20:57.244,00:21:00.004,31431,31500,Spassova / Todorov,19,🇧🇬,37.27,73.98,111.25,05/06,OLY
12,12,00:21:00.004,00:21:05.004,31500,31625,Spassova / Todorov,19,🇧🇬,37.27,73.98,111.25,05/06,OLY
13,13,00:21:05.004,00:21:57.685,31625,32942,Spassova / Todorov,19,🇧🇬,37.27,73.98,111.25,05/06,OLY
14,14,00:21:57.685,00:22:11.445,32942,33286,Spassova / Todorov,19,🇧🇬,37.27,73.98,111.25,05/06,OLY
15,15,00:22:11.445,00:22:40.645,33286,34016,Spassova / Todorov,19,🇧🇬,37.27,73.98,111.25,05/06,OLY
16,16,00:22:40.645,00:22:52.205,34016,34305,Spassova / Todorov,19,🇧🇬,37.27,73.98,111.25,05/06,OLY
17,17,00:27:28.446,00:27:50.406,41211,41760,Inoue / Baldwin,7,🇺🇸,61.27,113.74,175.01,05/06,OLY
18,18,00:27:50.406,00:27:58.006,41760,41950,Inoue / Baldwin,7,🇺🇸,61.27,113.74,175.01,05/06,OLY
19,19,00:27:58.006,00:28:19.566,41950,42489,Inoue / Baldwin,7,🇺🇸,61.27,113.74,175.01,05/06,OLY
20,20,00:28:19.566,00:28:52.086,42489,43302,Inoue / Baldwin,7,🇺🇸,61.27,113.74,175.01,05/06,OLY
21,21,00:28:52.086,00:28:57.846,43302,43446,Inoue / Baldwin,7,🇺🇸,61.27,113.74,175.01,05/06,OLY
22,22,00:28:57.846,00:29:06.006,43446,43650,Inoue / Baldwin,7,🇺🇸,61.27,113.74,175.01,05/06,OLY
23,23,00:29:06.006,00:29:34.646,43650,44366,Inoue / Baldwin,7,🇺🇸,61.27,113.74,175.01,05/06,OLY
24,24,00:29:34.646,00:29:41.806,44366,44545,Inoue / Baldwin,7,🇺🇸,61.27,113.74,175.01,05/06,OLY
25,25,00:41:41.849,00:41:52.009,62546,62800,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
26,26,00:41:52.009,00:41:58.289,62800,62957,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
27,27,00:41:58.289,00:42:10.969,62957,63274,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
28,28,00:42:10.969,00:42:18.889,63274,63472,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
29,29,00:42:18.889,00:42:50.009,63472,64250,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
30,30,00:42:50.009,00:42:56.009,64250,64400,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
31,31,00:42:56.009,00:43:11.449,64400,64786,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
32,32,00:43:11.449,00:43:24.889,64786,65122,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
33,33,00:43:24.889,00:43:44.009,65122,65600,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
34,34,00:43:44.009,00:43:46.009,65600,65650,Pang / Tong,4,🇨🇳,63.19,123.48,186.67,05/06,OLY
35,35,00:47:48.650,00:47:55.930,71716,71898,Shen / Zhao,3,🇨🇳,62.32,124.59,186.91,05/06,OLY
36,36,00:47:55.930,00:48:15.130,71898,72378,Shen / Zhao,3,🇨🇳,62.32,124.59,186.91,05/06,OLY
37,37,00:48:15.130,00:48:22.010,72378,72550,Shen / Zhao,3,🇨🇳,62.32,124.59,186.91,05/06,OLY
38,38,00:48:22.010,00:48:25.810,72550,72645,Shen / Zhao,3,🇨🇳,62.32,124.59,186.91,05/06,OLY
39,39,00:48:25.810,00:49:30.411,72645,74260,Shen / Zhao,3,🇨🇳,62.32,124.59,186.91,05/06,OLY
40,40,00:49:30.411,00:49:35.251,74260,74381,Shen / Zhao,3,🇨🇳,62.32,124.59,186.91,05/06,OLY
41,41,00:49:35.251,00:49:46.971,74381,74674,Shen / Zhao,3,🇨🇳,62.32,124.59,186.91,05/06,OLY
42,42,00:54:23.532,00:54:33.772,81588,81844,Phyo / Jong,20,🇰🇵,33.63,-,33.63,05/06,OLY
43,43,00:54:33.772,00:54:59.332,81844,82483,Phyo / Jong,20,🇰🇵,33.63,-,33.63,05/06,OLY
44,44,00:54:59.332,00:55:14.292,82483,82857,Phyo / Jong,20,🇰🇵,33.63,-,33.63,05/06,OLY
45,45,00:55:14.292,00:56:04.372,82857,84109,Phyo / Jong,20,🇰🇵,33.63,-,33.63,05/06,OLY
46,46,00:56:04.372,00:56:36.372,84109,84909,Phyo / Jong,20,🇰🇵,33.63,-,33.63,05/06,OLY
47,47,00:56:36.372,00:56:54.052,84909,85351,Phyo / Jong,20,🇰🇵,33.63,-,33.63,05/06,OLY
48,48,01:01:13.853,01:01:32.213,91846,92305,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
49,49,01:01:32.213,01:02:08.373,92305,93209,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
50,50,01:02:08.373,01:02:12.013,93209,93300,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
51,51,01:02:12.013,01:02:17.093,93300,93427,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
52,52,01:02:17.093,01:02:20.013,93427,93500,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
53,53,01:02:20.013,01:02:22.613,93500,93565,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
54,54,01:02:22.613,01:02:35.613,93565,93890,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
55,55,01:02:35.613,01:02:51.853,93890,94296,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
56,56,01:02:51.853,01:03:01.453,94296,94536,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
57,57,01:03:01.453,01:03:23.013,94536,95075,Pla / Bonheur,14,🇫🇷,44.24,88.60,132.84,05/06,OLY
58,58,01:17:10.496,01:18:01.377,115762,117034,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
59,59,01:18:01.377,01:18:08.017,117034,117200,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
60,60,01:18:08.017,01:18:10.777,117200,117269,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
61,61,01:18:10.777,01:18:19.097,117269,117477,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
62,62,01:18:19.097,01:18:32.017,117477,117800,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
63,63,01:18:32.017,01:18:54.937,117800,118373,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
64,64,01:18:54.937,01:19:00.177,118373,118504,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
65,65,01:19:00.177,01:19:10.977,118504,118774,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
66,66,01:19:10.977,01:19:17.817,118774,118945,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
67,67,01:19:17.817,01:19:18.497,118945,118962,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
68,68,01:19:18.497,01:19:19.737,118962,118993,Beloglazova / Bekh,18,🇺🇦,43.85,71.77,115.62,05/06,OLY
69,69,01:23:23.138,01:23:53.258,125078,125831,Hinzmann / Parchem,13,🇺🇸,49.58,97.47,147.05,05/06,OLY
70,70,01:23:53.258,01:24:04.178,125831,126104,Hinzmann / Parchem,13,🇺🇸,49.58,97.47,147.05,05/06,OLY
71,71,01:24:04.178,01:24:43.018,126104,127075,Hinzmann / Parchem,13,🇺🇸,49.58,97.47,147.05,05/06,OLY
72,72,01:29:44.059,01:30:49.059,134601,136226,Zhang / Zhang,2,🇨🇳,64.72,125.01,189.73,05/06,OLY
73,73,01:30:49.059,01:30:54.019,136226,136350,Zhang / Zhang,2,🇨🇳,64.72,125.01,189.73,05/06,OLY
74,74,01:30:54.019,01:30:56.979,136350,136424,Zhang / Zhang,2,🇨🇳,64.72,125.01,189.73,05/06,OLY
75,75,01:30:56.979,01:31:10.219,136424,136755,Zhang / Zhang,2,🇨🇳,64.72,125.01,189.73,05/06,OLY
76,76,01:31:10.219,01:31:31.619,136755,137290,Zhang / Zhang,2,🇨🇳,64.72,125.01,189.73,05/06,OLY
77,77,01:31:31.619,01:31:41.139,137290,137528,Zhang / Zhang,2,🇨🇳,64.72,125.01,189.73,05/06,OLY
78,78,01:31:41.139,01:32:08.460,137528,138211,Zhang / Zhang,2,🇨🇳,64.72,125.01,189.73,05/06,OLY
79,79,01:32:08.460,01:32:31.900,138211,138797,Zhang / Zhang,2,🇨🇳,64.72,125.01,189.73,05/06,OLY
