team,ts_perf_start,ts_perf_end
Safina / Berulava,00:12:53,00:15:45
Knierim / Frazier,00:19:32,00:22:21
James / Radford,00:26:16,00:29:07
Miura / Kihara,01:01:57,01:04:42
Ziegler / Kiefer,01:08:29,01:11:28
Barquero / Zandrón,01:15:07,01:17:56
Zukova / Bidar,01:29:38,01:32:25
Kops / Krasnopolski,01:36:13,01:39:00
Della Monica / Guarise,01:42:45,01:45:37
Hase / Seegert,01:49:22,01:52:18
Moore-Towers / Marinaro,02:18:48,02:21:37
Cain / Leduc,02:25:20,02:28:11
Peng / Jin,02:32:07,02:34:50
Ghilardi / Ambrosini,02:38:46,02:41:34
Mishina / Galliamov,02:53:01,02:55:48
Sui / Han,02:59:36,03:02:23
Tarasova / Morozov,03:06:07,03:08:55
Boikova / Kozlovskii,03:12:37,03:15:24
