team,ts_perf_start,ts_perf_end
Takahashi / Kihara,00:02:24,00:05:10
Della Monica / Guarise,00:08:22,00:11:10
Ziegler / Kiefer,00:14:43,00:17:32
Peng / Zhang,00:21:12,00:23:53
Davidovich / Krasnopolski,00:34:42,00:37:28
Castelli / Shnapir,00:41:05,00:43:55
Zhang / Bartholomay,00:47:43,00:50:31
Kemp / King,00:54:17,00:57:06
Hausch / Wende,01:09:31,01:12:17
Lavrentieva / Rudik,01:16:14,01:17:13
Lawrence / Swiegers,,
James / Cipres,,
Stolbova / Klimov,01:18:20,01:21:12
Duhamel / Radford,01:25:31,01:28:21
Savchenko / Szolkowy,01:32:02,01:34:51
Berton / Hotarek,01:38:20,01:41:08
Volosozhar / Trankov,01:54:27,01:57:17
Bazarova / Larionov,02:01:05,02:04:05
Pang / Tong,02:08:00,02:10:47
Moore-Towers / Moscovitch,02:14:08,02:17:03
