team,ts_perf_start,ts_perf_end
Aganina / Knyazev,00:07:10,00:09:58
Volosozhar / Morozov,00:13:55,00:16:46
Spassova / Todorov,00:20:39,00:23:24
Inoue / Baldwin,00:27:03,00:29:58
Pang / Tong,00:41:25,00:44:14
Shen / Zhao,00:47:40,00:50:27
Phyo / Jong,00:54:11,00:56:58
Pla / Bonheur,01:00:49,01:03:38
Beloglazova / Bekh,01:17:08,01:19:54
Hinzmann / Parchem,01:23:23,01:26:10
Zhang / Zhang,01:29:44,01:32:34
Rennik / Saks,01:36:29,01:39:15
Fitze / Rex,01:49:30,01:52:15
Petrova / Tikhonov,01:56:17,01:59:06
Zagorska / Siudek,02:03:23,02:06:12
Dubé / Davison,02:10:02,02:12:47
Marcoux / Buntin,02:39:03,02:41:50
Obertas / Slavnov,02:45:39,02:48:34
Totmianina / Marinin,02:52:41,02:55:30
Savchenko / Szolkowy,02:59:47,03:02:38
