team,ts_perf_start,ts_perf_end
Shen / Zhao,00:06:32,00:09:23
Sergejeva / Glebov,00:12:36,00:15:18
Sulej / Chruscinski,00:18:52,00:21:41
Denney / Barrett,00:32:24,00:35:13
Hausch / Wende,00:38:52,00:41:40
James / Bonheur,00:45:34,00:48:20
Bazarova / Larionov,01:02:10,01:04:58
Evora / Ladwig,01:08:56,01:11:42
Langlois / Hay,01:15:25,01:18:15
Kostenko / Talan,01:21:50,01:24:37
Della Monica / Kocon,01:35:36,01:38:24
Kemp / King,01:42:13,01:45:05
Morand / Dorsaz,01:48:38,01:51:25
Mukhortova / Trankov,02:17:43,02:20:30
Volosozhar / Morozov,02:24:15,02:27:00
Kavaguti / Smirnov,02:30:35,02:33:23
Dubé / Davison,02:44:30,02:47:17
Pang / Tong,02:51:22,02:54:13
Zhang / Zhang,02:57:42,03:00:32
Savchenko / Szolkowy,03:04:22,03:07:10
